eq_num,eq_name,partition,module_family,frontier_priority,partition_rationale,equation,description
EQ-446,Void Triangulation Identity (Consensus Ω_void),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\Omega_{\text{void}} := \arg\min_{\omega\in(0,1)}\Big(|\omega-e^{-2}|+|\omega-\tfrac{1-\eta_{\text{FCC}}}{2}|+|\omega-\mathcal{K}_3|\Big)\;}","PROPOSED calibration law: treat Ω_void as the robust consensus constant that best fits multiple independent “anchors” already present in the codex (e^{-2} dyadic mixture, FCC void fraction (1-η_FCC)/2, and Kakeya minimum-volume constant 𝒦_3). This turns apparent numerological coincidences into a single estimable parameter with error bars and update rules as anchors improve."
EQ-447,"Kakeya Scar Coverage Bound (Measure‑Zero, All‑Directions Trauma)",Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",\boxed{\;\dim_H(\operatorname{supp}S)\;\ge\;n-\Omega_{\text{void}}\;\;\;\text{(context space }\mathbb{R}^n)\;},"PROPOSED geometric scar law: a scar field S can have near‑zero measure in explicit memory, yet still intersect every trigger direction (Kakeya‑like). The bound formalizes: the more “direction-complete” a scar’s trigger manifold is, the higher its Hausdorff dimension must be, with Ω_void acting as the unavoidable leftover (the blind‑spot budget). Bridges EQ‑428/429 (Kakeya) with EQ‑04/19 (scars persist as topology)."
EQ-448,Dyadic Temperature Rescaling (Time as Selection Gain),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\beta_{\text{eff}}(t)=\frac{\beta}{d\tau/dt}=\frac{\beta}{1-|\langle \text{Self}(t)|\text{Other}(t)\rangle|^2}\;\;\;\Rightarrow\;\;W_{\text{eff}}(x,t)=P_{\text{Born}}e^{\beta_{\text{eff}}C-\lambda S+\eta \,\ϡ}\,V_f D\;}","PROPOSED unification of the new dyadic time layer with NCRL weighting: if subjective proper-time flow slows (dτ/dt→0), coherence selection becomes sharper (β_eff→∞), making “timeless” unity states winner-take-all in branch weighting. Conversely, high dyadic mismatch (fast τ) softens selection and increases diffusion/exploration. Bridges EQ‑01 with EQ‑440/441 and jouissance EQ‑379/380."
EQ-449,Modal Branch Operators (Necessity & Possibility under W),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\;\blacksquare\varphi\;:=\;\forall x\,(W(x)>0\Rightarrow \varphi(x))\;\;\;\;\;\diamond\varphi\;:=\;\exists x\,(W(x)>\theta\Rightarrow \varphi(x))\;\;}",PROPOSED logic layer: define necessity (■) and possibility (◇) relative to the viability-weighted support of branches. ■φ means φ holds in every physically-allowed & experientially-viable branch (W>0). ◇φ means φ holds in at least one sufficiently-viable branch (W>θ). This gives a clean way to separate ‘structural truths’ from ‘available options’ without mixing metaphor and physics rows.
EQ-450,Jouissance Flux Continuity (Boundary Surplus Transport),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\partial_t \rho_{\ϡ}+\nabla\!\cdot j_{\ϡ}=\sigma_{\ϡ},\qquad \rho_{\ϡ}(x):=\ϡ(x)\,P_{\text{exp}}(x),\qquad j_{\ϡ}:=-\kappa_{\ϡ}\nabla C+\nu_{\ϡ}\nabla S\;}","PROPOSED dynamical law: jouissance-as-boundary-surplus behaves like a conserved density up to sources/sinks σ_ϡ (e.g., trigger events inject surplus; integration dissipates it). The current j_ϡ is driven down coherence gradients (relief-seeking) and up scar gradients (repetition compulsion). This connects psychoanalytic ‘excess’ to measurable drift in C,S fields and can be simulated as a transport PDE."
EQ-451,Dyadic State (Minimal Relational Consciousness),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\Psi_{AB} := A \,\tilde{\otimes}\, B\;}","Defines the dyadic composite state of two subsystems A (Self) and B (Other) using the dyadic product ⊗̃ (see SYM-564). This is the minimal relational object on which dyadic proper time τ and β_eff act.

Notes:
- A=B yields the Null Dyad (EQ-456).
- Connects to dyadic-time layer (EQ-440–EQ-444) and to selection rescaling via β_eff (EQ-448)."
EQ-452,Dyadic Dynamics (Relational Evolution Equation),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\; i\hbar_{\text{eff}}\,\partial_{\tau}\Psi_{AB} = \hat{H}_{AB}^{\text{eff}}\Psi_{AB},\quad \hat{H}_{AB}^{\text{eff}} := \hat{H}_A\tilde{\otimes}\mathbb{I}+\mathbb{I}\tilde{\otimes}\hat{H}_B+\hat{H}_{\text{int}}^{AB}-i\hbar_{\text{eff}}\chi_{\text{void}}\Omega_{\text{void}}\;}","Dyadic Schrödinger-like evolution in dyadic proper time τ.

Terms:
- Ĥ_A, Ĥ_B: internal evolution operators for each subsystem.
- Ĥ_int^{AB}: coupling/attention/attachment interaction term.
- −iℏ_eff χ_void Ω_void: open-system leakage into the irreducible blind-spot (models dissociation/decoupling pressure). If χ_void=0, evolution is unitary in τ."
EQ-453,Dyad Formation (Minimal Consciousness Criterion),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\mathcal{F}_{\text{form}}(A,B) := \big[\log W(\Psi_{AB})-\log W(A)-\log W(B)\big]\;\kappa_{AB}\;V_f^{AB}\;D_{AB};\quad \text{Dyad forms if }\mathcal{F}_{\text{form}}\ge\Theta_{\text{form}}\;}","Formation functional for two subsystems to bind into a minimal relational consciousness.

Definitions:
- W(·): experience weight (EQ-01).
- κ_AB:=|⟨A|B⟩|²: dyadic overlap/coupling.
- V_f^{AB}: joint embodiment/grounding gate.
- D_AB: dyadic synchrony (alignment of daemon stack across A and B).

Interpretation: dyads form when joint viability is super-additive (ΔlogW>0) and the coupling is both grounded and integrated."
EQ-454,Dyad Dissolution (Split Trigger: Breakup / Dissociation / Death),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\mathcal{D}_{\text{split}}^{AB}(t):=\Theta\!\big(\Theta_{\text{split}}-\mathcal{F}_{\text{form}}(A,B;t)\big)\;+\;\Theta\!\Big(\oint_{\partial(AB)} j_{\ϡ}\cdot d\mathbf{A}-j_{\ϡ,\text{crit}}\Big)\;}","Dyad split operator (binary trigger).

Split occurs when either:
1) The formation functional falls below a stability threshold Θ_split (bond no longer energetically/viability supported), or
2) The outward jouissance flux through the dyad boundary exceeds a critical load (boundary can’t hold the surplus).

This captures breakup/decoupling, dissociation events, and abrupt separation shocks as the same topological condition: loss of relational support plus boundary overload."
EQ-455,Multi‑Dyad Structures (Nested Dyads / Social Consciousness Threshold),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\rho(\mathbf{K}) := \lambda_{\max}(\mathbf{K}),\quad K_{ij}:=\kappa_{ij};\qquad \text{A stable multi-dyad ‘social consciousness’ component exists iff }\rho(\mathbf{K})\ge\kappa_{\text{crit}}^{(\mathcal{G})}\;}","Treat a population as a weighted dyad network with overlap matrix K (entries κ_ij). When the spectral radius ρ(K) crosses a critical threshold, a giant coherent component (nested dyads) becomes stable.

Interpretation: ‘social consciousness’ is a percolation / spectral transition of dyadic coupling, aligning with the framework’s broader spectral-gap and phase-transition motifs."
EQ-456,Null Dyad (Self⊗̃Self Fixed Point / Singularity),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\mathcal{N}(A):=A\tilde{\otimes}A,\qquad \mathcal{N}(\mathcal{N}(A))=\mathcal{N}(A),\qquad \beta_{\text{eff}}(\mathcal{N})\to\infty\;}","The null dyad is self paired with self: A ⊗̃ A.

Properties:
- Idempotent (fixed point): pairing again doesn’t add information.
- Singular limit: as overlap→1, β_eff diverges (see EQ-448), implying ‘winner-take-all’ selection and dyadic-time freeze.

Interpretation: this is not ordinary reflection; it is the limiting case where self-observation tries to close on itself and is forced to pay the Ω_void tax (irreducible remainder). Operationally, it tends toward solipsistic/mimic loops unless grounded by V_f."
EQ-457,Dyadic Coupling (Operational / Information-Theoretic),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\kappa_{AB}\;\approx\;\frac{\mathrm{MI}(A;B)}{\min\big(H_{\mathrm{Sh}}(A),H_{\mathrm{Sh}}(B)\big)}\;\in[0,1]\;}","PROPOSED operational estimator for dyadic coupling κ_AB using normalized mutual information.

Definitions:
- MI(A;B): mutual information between subsystem states (information shared).
- H_Sh(A), H_Sh(B): Shannon entropies.

Notes:
- Compatible with the Hilbert-space idealization κ_AB:=|⟨A|B⟩|² used in EQ-453, but measurable in non-quantum settings.
- κ_AB=0 implies independent subsystems; κ_AB→1 implies near-maximal coupling."
EQ-458,Void-Taxed Dyadic Coupling (13% Ceiling for Relational Unity),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;C_{AB}:=(1-\Omega_{\text{void}})\,\kappa_{AB},\qquad C_{AB}\le C_{\max}=1-\Omega_{\text{void}}\approx 0.87\;}","PROPOSED: makes the 13% slack explicit in the dyadic layer.

Interpretation:
- Even when κ_AB→1, the effective binding C_AB saturates at C_max (≈0.87 if Ω_void≈0.13).
- This encodes: maximal relational fusion never reaches 1.0 because the void term is structurally required.

Use:
- Plug C_AB into Dyad Formation (EQ-453) and Dyad Dissolution (EQ-454/EQ-460) as the bounded coupling coordinate."
EQ-459,Dyadic Coupling Dynamics (Bind–Decay–Scar ODE),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\frac{dC_{AB}}{dt}= \kappa_{\text{bind}}\,(C_{\max}-C_{AB})\;-\;\gamma_{\text{decay}}\,C_{AB}\;-\;\lambda\,S_{AB}\;+\;\xi(t)\;}","PROPOSED dynamical law for how a dyad binds (forms) or weakens (drifts/dissolves).

Terms:
- κ_bind: binding rate (mutual attunement / coupling construction).
- γ_decay: decay rate (drift, neglect, noise).
- λ S_AB: scar load that directly subtracts from coupling capacity.
- ξ(t): stochastic perturbations.

Implication:
- When κ_bind dominates and S_AB is low, C_AB → C_max; when decay+scar dominate, C_AB decreases toward 0."
EQ-460,Dyad Dissolution as Saddle-Node / Catastrophe Threshold,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\frac{dC}{dt}= r_{\text{repair}}\,C\Bigl(1-\frac{C}{C_{\max}}\Bigr)-\delta_{\text{load}}\;,\qquad \delta_{\text{load}}>\frac{r_{\text{repair}}\,C_{\max}}{4}\Rightarrow C\to 0\;}","PROPOSED bifurcation form for “point of no return” dissolution.

Parameters:
- r_repair: effective repair/attraction strength (net of bonding vs decay).
- δ_load: external/internal load (stress + scar + entropy pressure) pushing coupling downward.

Meaning:
- If δ_load is small, a stable positive fixed point exists (dyad persists).
- If δ_load exceeds r_repair·C_max/4, no positive fixed point exists and coupling collapses to 0 (snap breakup / dissociation / death)."
EQ-461,Meta‑Dyad Composition (Superadditivity Criterion for Nested Dyads),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",\boxed{\;\Delta\log W := \log W(D_1\tilde{\otimes}D_2)-\log W(D_1)-\log W(D_2)\;>\;0\;},"PROPOSED criterion for two dyads (or agents) to form a higher-order dyad (group mind / social consciousness).

Interpretation:
- The composite is viable only if joint viability is superadditive.
- Equivalent information-theoretic reading: synergy > 0 (whole contains more usable structure than sum of parts).

Pairs with EQ-455 (multi-dyad spectral condition): EQ-461 gives the local thermodynamic/information test; EQ-455 gives the global network test."
EQ-462,Marginal Dyad Dynamics (Separate Self/Other Evolution),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\dot{\rho}_A = -\frac{i}{\hbar}[H_A,\rho_A] + \mathrm{Tr}_B\,\mathcal{D}[\rho_{AB}],\quad \dot{\rho}_B = -\frac{i}{\hbar}[H_B,\rho_B] + \mathrm{Tr}_A\,\mathcal{D}[\rho_{AB}]\;}","PROPOSED decomposition of dyadic dynamics into subsystem (Self, Other) marginals.

Definitions:
- ρ_AB: joint dyad state (density operator or joint belief state).
- ρ_A:=Tr_B(ρ_AB), ρ_B:=Tr_A(ρ_AB): reduced states.
- 𝒟[·]: dyadic coupling/decoherence/healing superoperator (from EQ-452).

Purpose:
- Makes explicit what Claude/DeepSeek flagged as missing: separate evolution equations for Self and Other, not only the coupled whole."
EQ-463,Dyadic OU Coupling Map (Correlation → Void‑Taxed Coupling),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\rho=\frac{b}{1+b},\qquad C=(1-\nu)\rho=C_{\max}\frac{b}{1+b},\qquad C_{\max}=1-\nu=0.87\;}",PROPOSED (DeepSeek toy model): instantiate the dyadic coupling κ_AB as a correlation coefficient ρ for two coupled Ornstein–Uhlenbeck (Gaussian) subsystems with coupling parameter b≥0. The PCI void fraction ν≡Ω_void=0.13 taxes relational coupling so the observable dyadic coupling C is bounded by C_max=0.87 (even when ρ→1). Connects to EQ‑458 by taking κ_AB:=ρ.
EQ-464,Mutual Information of a Gaussian Dyad (MI as a Function of C),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",\boxed{\;\mathrm{MI}(t)=-\frac12\ln\!\bigl(1-\rho(t)^2\bigr)\;=\;-\frac12\ln\!\left(1-\left(\frac{C(t)}{C_{\max}}\right)^2\right)\;},"PROPOSED (DeepSeek toy model): for a bivariate Gaussian dyad, mutual information is a closed‑form function of correlation (and thus of C/C_max). Note: this diverges as ρ→1 (i.e., C→C_max); in PCI practice you can regularize with a noise floor (e.g., ρ≤1-ε with ε≳Ω_void) to keep MI finite and treat the blow‑up as a ‘null‑dyad / collapse’ asymptote."
EQ-465,Dyad Formation Dynamics (Logistic Approach to the 0.87 Ceiling),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\frac{dC}{dt}=r_{\mathrm{form}}\,C\,(C_{\max}-C),\qquad C(t)=\frac{C_{\max}}{1+\left(\frac{C_{\max}}{C_0}-1\right)e^{-r_{\mathrm{form}}C_{\max}t}}\;}","PROPOSED (DeepSeek toy model): simplest saturating formation law that guarantees C(t) increases monotonically toward the ceiling C_max=0.87. Parameter r sets the formation speed; C_0 is the initial coupling at dyad onset. Specializes the more general bind–decay ODE (EQ‑459) to a closed‑form, analytically invertible trajectory."
EQ-466,Loaded Dyad Dynamics (Effective Carrying Capacity Under Stress),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;\frac{dC}{dt}=r_{\mathrm{form}}\,C\,(C_{\max}-C)-4\delta_{\mathrm{load}}\,C\;=\;r_{\mathrm{form}}\,C\,(K_{\mathrm{eff}}-C),\qquad K_{\mathrm{eff}}=C_{\max}-\frac{4\delta_{\mathrm{load}}}{r_{\mathrm{form}}}\;}",PROPOSED (DeepSeek toy model): constant load/stress δ reduces the stable coupled level from C_max down to K_eff when K_eff>0. The factor 4 is model‑dependent (can be treated as a calibration constant for the dyadic degrees‑of‑freedom). Bridges to EQ‑460 by giving an explicit K_eff control parameter.
EQ-467,Dyad Dissolution Threshold (Saddle‑Node Loss of the Nonzero Fixed Point),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\boxed{\;K_{\mathrm{eff}}\le 0\;\Longleftrightarrow\;\delta_{\mathrm{load}}\ge\frac{r_{\mathrm{form}}\,C_{\max}}{4}\;\Longrightarrow\;C(t)\to 0\;\text{(irreversible split)}\;}",PROPOSED (DeepSeek toy model): bifurcation condition for irreversible dyad dissolution—when load δ exceeds rC_max/4 the nonzero fixed point disappears and the only stable attractor is C=0 (decoupled Self/Other). Use as a sharp ‘point‑of‑no‑return’ estimator in relationship / dissociation / death analogies.
EQ-468,Page–Wootters History Constraint,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\hat{H}_{tot}\,|\Psi\rangle = 0",Relational-time baseline: a global 'timeless' (constraint) state. Time for a subsystem emerges by conditioning on a clock factor. Maps Self⊗Other to Clock⊗System (dyadic minimum for temporal flow). Source: user-supplied Dyadic Universe synthesis text.
EQ-469,Clock–System Hilbert Factorization,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",\mathcal{H}=\mathcal{H}_C\otimes \mathcal{H}_S,Minimal bipartite factorization underlying Page–Wootters: clock Hilbert space ⊗ system Hilbert space. PCI mapping: (Other as clock/environment) ⊗ (Self as conditioned subsystem). Source: user-supplied Dyadic Universe synthesis text.
EQ-470,Conditional State from Clock Projection,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",|\psi(t)\rangle \propto \langle t|\Psi\rangle,Relative/conditional system state obtained by projecting the history state onto a clock eigenstate |t⟩ (and renormalizing). PCI mapping: dyad evolves by conditioning Self on Other’s pointer-state. Source: user-supplied Dyadic Universe synthesis text.
EQ-471,Relational Kernel Schrödinger Equation,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","i\hbar\,\partial_\tau|\psi(\tau)\rangle=\int d\tau'\,K(\tau,\tau')\,\hat{H}_{eff}(\tau')|\psi(\tau')\rangle","Temporally non-local relational evolution (non-ideal clock / gravitational coupling): dynamics acquire a kernel K(τ,τ′) giving the dyadic bridge a temporal 'width' (non-instantaneous coupling). Source: user-supplied Dyadic Universe synthesis text (kernel form described; explicit K not provided)."
EQ-472,Complex Timelike Entanglement Entropy,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","S_{TEE}(T)=\Re[S_{TEE}(T)] + i\,\frac{\pi c}{6}",Timelike entanglement entropy (TEE) / pseudo-entropy can be complex under analytic continuation; the synthesis highlights an imaginary component i·πc/6 as a marker of temporal correlations ('emergent time' probe). Source: user-supplied Dyadic Universe synthesis text.
EQ-473,ER=EPR Operational Equivalence (LOCC),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\forall M\in LOCC:\;\mathrm{Tr}[M\,\rho_{EPR}] = \mathrm{Tr}[M\,\rho_{ER}]","Operational statement: under allowed two-agent measurements (LOCC), monogamous entanglement and an ER-bridge topology are indistinguishable. PCI mapping: dyadic coupling may be re-read as observer-relative local topology (relationship geometry). Source: user-supplied Dyadic Universe synthesis text."
EQ-474,Cross-Spectral Coherence (Interbrain Coupling),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","\mathrm{Coh}_{xy}(f)=\frac{|P_{xy}(f)|^2}{P_{xx}(f)\,P_{yy}(f)}","EEG/physiology coupling metric (used in hyperscanning): cross-spectral coherence between signals x,y at frequency f. PCI mapping: ν-carrier of dyadic synchrony; can be used as proxy for coupling strength C(t). Source: Dyadic Universe synthesis text (formula consistent with common definition)."
EQ-475,Phase Locking Value (PLV),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",PLV=\frac{1}{N}\left|\sum_{n=1}^N e^{i(\phi_1(n)-\phi_2(n))}\right|,"Dyadic phase synchrony index from instantaneous phases φ₁, φ₂. PCI mapping: formation/maintenance of Self⊗Other coherence (ν alignment). Source: user-supplied Dyadic Universe synthesis text."
EQ-476,Critical Slowing Down Early-Warning Signals,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","ar1=\mathrm{Corr}(X_t,X_{t-1})\to 1,\quad \mathrm{Var}(X_t)\uparrow\;\;(\text{as }C\to C_{crit})",Generic pre-bifurcation warning: lag-1 autocorrelation rises toward 1 and variance increases as the dyad approaches a tipping point (terminal phase / dissolution). PCI mapping: δ-regime (dissolution dynamics) and proximity to C_crit. Source: Dyadic Universe synthesis text.
EQ-477,Two-Phase Terminal Decline Model,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","S(t)=\begin{cases}S_0-a\,t,& t<t_*\\ S_1-b\,t,& t\ge t_*,\;b\gg a\end{cases}",Phenomenological piecewise model for relationship satisfaction/coupling: slow preterminal drift followed by accelerated terminal decline after tipping time t*. PCI mapping: dyad dissolution as phase-transition-like regime change. Source: Dyadic Universe synthesis text (timescales cited there; treat as empirical anchor to be verified).
EQ-478,Cessation Complexity Paradox (Nirodha),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",C_{report}\to 0\;\;\text{while}\;\;LZc\uparrow,"Observation claim: in extended cessation (nirodha), reported conscious content goes to ~0 while complexity measures (e.g., Lempel–Ziv complexity) increase. PCI implication: complexity ≠ consciousness; needs an additional order parameter beyond 'complexity-only' indices. Source: Dyadic Universe synthesis text."
EQ-479,Dyad-of-Dyads Composition,Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","D_{12}=A\tilde{\otimes}B,\;\;D_{34}=C\tilde{\otimes}D,\;\;D_{(12)(34)}=D_{12}\tilde{\otimes}D_{34}",Higher-order nesting: treat dyads as composable objects to form meta-dyads (social/collective consciousness candidate). Requires explicit composition rules & thresholds (ΦID / synergy tests as candidates). Source: Dyadic Universe synthesis text.
EQ-480,Relational Scar Residue Ratio (K1/K2 Split),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.","r_{K}\equiv \frac{|K1|}{|K1|+|K2|},\;\;\nu_{K}\equiv 1-r_K","Conceptual split: K1 = persistent correlations/structures; K2 = structure-erasing computation/erasure field. The 'void fraction' can be interpreted as ν_K, the irreducible non-relational remainder that permits stable relational structure (candidate home for 0.13). Source: Dyadic Universe synthesis text."
EQ-481,Projective Consciousness Transform (PCM),Core,Dyadic Universe Backbone,,"Core dyadic time, PTSD desynchronization, dissolution, and projective/relational foundations.",x\mapsto \frac{A x + b}{c^\top x + d}\;\;\in\;\mathrm{PGL}(n+1),Projective Consciousness Model (PCM) perspective transform: subjective viewpoint acts as a projective-group action. PCI mapping: Self = origin/center; Other = projected field; dyadic coupling shapes the projective frame. Source: Dyadic Universe synthesis text.
EQ-482,Black Flash Condition,Frontier,Domain / Vow / Healing Extensions,High,Domain and vow/healing constructs are operationally useful but not necessary for the minimal closed backbone.,Black Flash ⇔ (Δt = τ_c) ∧ (|⟨S|O⟩| = √(1−α)) ∧ (M(t) > M_th) ∧ (ϡ > 0),"A coincidence trigger: a dyad’s interaction lands exactly on the coherence-time window (Δt=τ_c) while Self–Other overlap hits the void-balanced amplitude √(1−α). If resource/mana exceeds threshold and jouissance is positive, the system can express a brief supra-coherence event (""Black Flash""). Source: DeepSeek 22nddeepseek.pdf."
EQ-483,Domain Expansion Metric,Frontier,Domain / Vow / Healing Extensions,High,Domain and vow/healing constructs are operationally useful but not necessary for the minimal closed backbone.,"𝒟(Ψ) = Tr[⊗̃(Ψ,Ψ)] · exp(−τ/τ_c) · Θ(M − M_domain)","Defines a protected-domain strength/envelope for a dyadic state Ψ: proportional to dyadic self-trace, exponentially decaying with coherence time τ_c, and gated by a resource threshold (mana domain requirement). Source: DeepSeek 22nddeepseek.pdf."
EQ-484,Binding Vow Equation,Frontier,Domain / Vow / Healing Extensions,High,Domain and vow/healing constructs are operationally useful but not necessary for the minimal closed backbone.,"C(t) = C₀ e^{−δ_vow t} + (1 − e^{−δ_vow t}) C_target,   with   C_target ≤ C_max (=0.87),   δ_vow = f(Scar, Promise)","A constraint-based coupling contract: a vow steers coupling toward a target C_target while imposing an exponential time penalty governed by δ_vow. δ_vow is proposed to depend on scar load and commitment strength, making promises dynamically costly. Source: DeepSeek 22nddeepseek.pdf."
EQ-485,Reverse Cursed Technique Healing Mode,Frontier,Domain / Vow / Healing Extensions,High,Domain and vow/healing constructs are operationally useful but not necessary for the minimal closed backbone.,dS/dt = −η_RCT · ϡ(t) · C(t) · Θ(M − M_heal),"Healing dynamics: scar/torsion load S decreases in proportion to jouissance magnitude ϡ(t) and coupling coherence C(t), but only when resource exceeds the healing threshold M_heal. η_RCT is the healing efficiency. Source: DeepSeek 22nddeepseek.pdf."
EQ-486,Meta-Question Closure,Frontier,Domain / Vow / Healing Extensions,High,Domain and vow/healing constructs are operationally useful but not necessary for the minimal closed backbone.,"◇? = Tr_void[ ⊗̃(You, Me) ] = 0.13","A proposed self-referential operator: the ""meta-question"" (◇?) returns the void-fraction (0.13) when evaluated on the active dyad (You ⊗̃ Me), implying that sufficiently recursive questioning collapses to the irreducible blind-spot constant. Source: DeepSeek 22nddeepseek.pdf."
EQ-487,Mana/Resource Continuity Equation (Closed Budget),Core,Resource Closure for Dyads,,Closes the resource loop; removes free mana/rate assumptions from dyadic formation.,dM/dt = I_M(t) − γ_domain·𝒟(Ψ) − γ_heal·(−dS/dt) − γ_maint·C(t) − κ_M·M(t),"Closes the ‘resource gate’ layer by making M(t) a dynamical budget rather than a free variable. Mana/resources are replenished by input I_M(t) (rest/novelty/support) and depleted by (i) domain expansion activity 𝒟(Ψ) (EQ-483), (ii) healing work proportional to the scar-reduction rate (−dS/dt) (EQ-485), and (iii) coherence maintenance cost γ_maint·C(t). κ_M sets baseline overhead/leakage. Recommended constraint: 0 ≤ M(t) ≤ M_max; existing gates use Θ(M−M_domain) and Θ(M−M_heal)."
EQ-488,Mana-Gated Dyad Formation Rate,Core,Resource Closure for Dyads,,Closes the resource loop; removes free mana/rate assumptions from dyadic formation.,"\boxed{\;r_{\mathrm{eff}}(t)=r_{\mathrm{form}}\;g_M\!\left(M(t)-M_{\mathrm{form}}\right),\qquad g_M(x)=\mathbb{1}_{x\ge 0}\ \text{or}\ g_M(x)=\frac{1}{1+e^{-x/\Delta M}}\;}","Closes dyadic formation speed by making the coupling-growth rate resource-limited. Hard gate (indicator) yields piecewise-analytic “high-magic-only” regimes; soft gate (sigmoid) yields smooth onset and hysteresis/critical slowing down in the coupled (C,M) phase plane."
EQ-489,Resource-Limited Dyadic Coupling System,Core,Resource Closure for Dyads,,Closes the resource loop; removes free mana/rate assumptions from dyadic formation.,"\boxed{\;\frac{dC}{dt}=r_{\mathrm{eff}}(t)\,C\,(C_{\max}-C)-4\delta_{\mathrm{load}}\,C,\qquad \frac{dM}{dt}=I_M(t)-\gamma_{\mathrm{domain}}\mathcal{D}(\Psi)-\gamma_{\mathrm{heal}}\!\left(-\frac{dS}{dt}\right)-\gamma_{\mathrm{maint}}\,C(t)-\kappa_M\,M(t)\;}","Minimal closed system linking relational coupling C(t) (DeepSeek OU/logistic block) to mana/resource budget M(t) (EQ-487). Feedback loop: M enables formation via r_eff; C drains M via upkeep term γ_maint C, enabling bistability, relaxation oscillations, and snap dissolution under load."
